
Name                                  Path                                                          InternalDeps
----                                  ----                                                          ------------
@spark-view/spark-ai                  D:\SPARK_VIEW\packages\spark-ai\package.json                  @spark-view/spark-component, @spark-view/spark-data, @spark-view/spark-utils
@spark-view/spark-app                 D:\SPARK_VIEW\packages\spark-app\package.json                 @spark-view/spark-ai, @spark-view/spark-component, @spark-view/spark-page-config, @spark-view/spark-utils
@spark-view/spark-component           D:\SPARK_VIEW\packages\spark-component\package.json           @spark-view/spark-data, @spark-view/spark-page-config, @spark-view/spark-utils
@spark-view/spark-data                D:\SPARK_VIEW\packages\spark-data\package.json                @spark-view/spark-utils
@spark-view/spark-page-config         D:\SPARK_VIEW\packages\spark-page-config\package.json         @spark-view/spark-data, @spark-view/spark-utils
@spark-view/spark-utils               D:\SPARK_VIEW\packages\spark-utils\package.json               (none)
@spark-view/vite-plugin-spark-catalog D:\SPARK_VIEW\packages\vite-plugin-spark-catalog\package.json (none)
spark-view-architecture-prototype     D:\SPARK_VIEW\package.json                                    @spark-view/spark-app, @spark-view/spark-component, @spark-view/spark-data, @spark-view/spark-page-config, @spark-view/vite-plugin-spark-catalog
vxe-table                             D:\SPARK_VIEW\packages\vxe-table\package.json                 (none)


